id,documentId,it,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
1,"iart8ejpdvlkqodaahfbnhxo","padre","отец",16,true,30,"2025-04-16T09:44:02.597Z","2025-04-20T16:55:40.219Z","",""
3,"fe7v6ry84b6nflk8apccgj5r","madre","мать",16,true,30,"2025-04-16T09:44:37.461Z","2025-04-20T16:55:34.975Z","",""
5,"uih11trqsp3sqfjjoyvv76ok","marito","муж",16,true,30,"2025-04-16T09:44:59.659Z","2025-04-20T16:55:36.926Z","",""
7,"khz6t60vpskuzh7ihq7g8pwq","moglie","жена",16,true,30,"2025-04-16T09:45:22.344Z","2025-04-16T09:51:11.989Z","",""
9,"wrdx7xp8is5a2gm6gtdaz9hl","figlio","сын",16,true,30,"2025-04-16T09:45:48.160Z","2025-04-20T16:55:32.917Z","",""
11,"mt5k81oe9p3j70s0bepjtyds","figlia","дочь",16,true,30,"2025-04-16T09:46:23.041Z","2025-04-20T16:55:31.467Z","",""
13,"iszgcsserm8ksc0aej7h553b","nonno","дед",16,true,30,"2025-04-16T09:46:38.046Z","2025-04-20T16:55:38.246Z","",""
15,"ftpc9jllsbaswo3tx2dd3h4t","nonna","бабушка",16,true,30,"2025-04-16T09:46:53.902Z","2025-04-16T09:47:36.237Z","",""
25,"qexpryqsw0615pkng4vg5g8t","figlia","бабушка",16,false,30,"2025-04-16T09:48:43.617Z","2025-04-20T16:55:32.148Z","",""
27,"p24fj1qtasx3fj8psyi0ma8w","figlio","муж",16,false,30,"2025-04-16T09:49:28.812Z","2025-04-20T16:55:33.644Z","",""
29,"e9tnau61pueqp0yy6yvu990x","madre","муж",16,false,30,"2025-04-16T09:49:55.461Z","2025-04-20T16:55:35.606Z","",""
31,"xntq0w3vbhh56aoytifh0w6e","marito","мать",16,false,30,"2025-04-16T09:50:20.299Z","2025-04-20T16:55:36.306Z","",""
35,"yapcv1fi5vkl1b673dkp6qmp","moglie","мать",16,true,30,"2025-04-16T09:52:00.521Z","2025-04-16T09:52:03.323Z","",""
37,"xgayxcwhl6oo7rncw8ootjt7","nonno","дед",16,true,30,"2025-04-16T09:53:09.619Z","2025-04-16T09:53:09.619Z","",""
39,"pe0yhz1vxg4sn2osdouf85l2","nonna","бабушка",16,true,30,"2025-04-16T09:53:37.733Z","2025-04-16T09:53:37.733Z","",""
41,"a0m04seo8slus1svki1jlhwn","suocero","тесть, свекор",16,true,30,"2025-04-16T09:54:03.114Z","2025-04-20T16:55:43.682Z","",""
43,"ggzs620the09u8uul9fn2tt7","suocera","теща, свекровь",16,true,30,"2025-04-16T09:54:25.186Z","2025-04-20T16:55:42.960Z","",""
45,"fkzxiccrsecurgh42w0e64d5","zio","дядя",16,true,30,"2025-04-16T09:54:41.963Z","2025-04-20T16:55:44.308Z","",""
